Log Data for Client IPAddres: 127.0.1.1 Pid: 13960
Log Data for Client IPAddres: 127.0.1.1 Pid: 13960
Setting model for server
Number Push: ,50
Start Training...
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
"
Total number of epochs: 4929"
"
Time Elapsed:",0:15:09.879232
"
Mean Learning Time:",0:00:00.219773
MAX Learning Time:,0:00:00.658227
MIN Learning Time:,0:00:00.011960
"
Mean Communication Time:",0:00:00.595703
MAX Communication Time:,0:00:05.607910
MIN Communication Time:,0:00:00.040035
"
Total Learning Time:->",0:00:21.537783
"
Total Communication delay:->",0:00:58.378867
"
Mean time for epoch:",0:00:00.096408
MIN time for epoch:,0:00:00.000213
MAX time for epoch:,0:00:05.625001
"
Total time for epoch:->",0:07:55.291626
"
Total time for testing:->",0:07:07.218368
