Log Data for Client IPAddres: 127.0.1.1 Pid: 28197
Log Data for Client IPAddres: 127.0.1.1 Pid: 28197
Setting model for server
Number Push: ,50
Start Training...
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
reply,message
"
Total number of epochs: 1719"
"
Time Elapsed:",0:05:41.329447
"
Mean Learning Time:",0:00:00.187354
MAX Learning Time:,0:00:00.547944
MIN Learning Time:,0:00:00.011785
"
Mean Communication Time:",0:00:01.052767
MAX Communication Time:,0:00:17.803773
MIN Communication Time:,0:00:00.049764
"
Total Learning Time:->",0:00:06.370023
"
Total Communication delay:->",0:00:35.794083
"
Mean time for epoch:",0:00:00.102944
MIN time for epoch:,0:00:00.000169
MAX time for epoch:,0:00:17.816516
"
Total time for epoch:->",0:02:57.064082
"
Total time for testing:->",0:02:44.136597
